# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C initialization__ACQ_7 of dff T0 W1
F setup_hbm__D__lh__CLK__hl__ACQ_1 of dff T1 W1
C initialization__ACQ_6 of dff T2 W1
F setup_hbm__D__hl__CLK__hl__ACQ_1 of dff T3 W1
C initialization__ACQ_4 of dff T4 W1
C leakage_power__ACQ_1 of dff T5 W1
C Cin__D__hl__ACQ_1 of dff T6 W1
C Cin__D__lh__ACQ_1 of dff T7 W1
C Cin__VSS__hl__ACQ_1 of dff T8 W1
C Cin__VSS__lh__ACQ_1 of dff T9 W1
C initialization__ACQ_5 of dff T10 W1
F ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of dff T11 W1
F removal_hbm__R__hl__CLK__hl__ACQ_1 of dff T12 W1
F recover_hbm__R__hl__CLK__hl__ACQ_1 of dff T13 W1
C initialization__ACQ_1 of dff T14 W1
C initialization__ACQ_2 of dff T15 W1
F cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of dff T16 W1
F cmpw_hbm__R__lh__R__hl__ACQ_1 of dff T17 W1
C initialization__ACQ_3 of dff T18 W1
F delay__CLK__hl__Q__hl__ACQ_1 of dff T19 W1
F delay__CLK__hl__Q__lh__ACQ_1 of dff T20 W1
F hold_hbm__D__lh__CLK__hl__ACQ_1 of dff T21 W1
F hold_hbm__D__hl__CLK__hl__ACQ_1 of dff T22 W1
C Cin__CLK__lh__ACQ_1 of dff T23 W1
C Cin__VDD__hl__ACQ_1 of dff T24 W1
C Cin__VDD__lh__ACQ_1 of dff T25 W1
F delay__R__lh__Q__hl__ACQ_1 of dff T26 W1
C Cin__R__hl__ACQ_1 of dff T27 W1
F removal_hbm__R__hl__CLK__hl__ACQ_1 of dff T28 W1
F recover_hbm__R__hl__CLK__hl__ACQ_1 of dff T29 W1
F setup_hbm__D__lh__CLK__hl__ACQ_1 of dff T30 W1
F setup_hbm__D__hl__CLK__hl__ACQ_1 of dff T31 W1
F ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of dff T32 W1
F cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of dff T33 W1
F hold_hbm__D__hl__CLK__hl__ACQ_1 of dff T34 W1
F cmpw_hbm__R__lh__R__hl__ACQ_1 of dff T35 W1
F hold_hbm__D__lh__CLK__hl__ACQ_1 of dff T36 W1
F delay__CLK__hl__Q__lh__ACQ_1 of dff T37 W1
F delay__R__lh__Q__hl__ACQ_1 of dff T38 W1
F delay__CLK__hl__Q__hl__ACQ_1 of dff T39 W1
C initialization__ACQ_7 of dff T40 W2
F setup_hbm__D__lh__CLK__hl__ACQ_1 of dff T41 W2
C initialization__ACQ_6 of dff T42 W2
F setup_hbm__D__hl__CLK__hl__ACQ_1 of dff T43 W2
C initialization__ACQ_4 of dff T44 W2
C leakage_power__ACQ_1 of dff T45 W2
C Cin__D__hl__ACQ_1 of dff T46 W2
C Cin__D__lh__ACQ_1 of dff T47 W2
C Cin__VSS__hl__ACQ_1 of dff T48 W2
C Cin__VSS__lh__ACQ_1 of dff T49 W2
C initialization__ACQ_5 of dff T50 W2
F ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of dff T51 W2
F removal_hbm__R__hl__CLK__hl__ACQ_1 of dff T52 W2
F recover_hbm__R__hl__CLK__hl__ACQ_1 of dff T53 W2
C initialization__ACQ_1 of dff T54 W2
C initialization__ACQ_2 of dff T55 W2
F cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of dff T56 W2
F cmpw_hbm__R__lh__R__hl__ACQ_1 of dff T57 W2
C initialization__ACQ_3 of dff T58 W2
F delay__CLK__hl__Q__hl__ACQ_1 of dff T59 W2
F delay__CLK__hl__Q__lh__ACQ_1 of dff T60 W2
F hold_hbm__D__lh__CLK__hl__ACQ_1 of dff T61 W2
F hold_hbm__D__hl__CLK__hl__ACQ_1 of dff T62 W2
C Cin__CLK__lh__ACQ_1 of dff T63 W2
C Cin__VDD__hl__ACQ_1 of dff T64 W2
C Cin__VDD__lh__ACQ_1 of dff T65 W2
F delay__R__lh__Q__hl__ACQ_1 of dff T66 W2
C Cin__R__hl__ACQ_1 of dff T67 W2
F removal_hbm__R__hl__CLK__hl__ACQ_1 of dff T68 W2
F recover_hbm__R__hl__CLK__hl__ACQ_1 of dff T69 W2
F setup_hbm__D__lh__CLK__hl__ACQ_1 of dff T70 W2
F setup_hbm__D__hl__CLK__hl__ACQ_1 of dff T71 W2
F ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of dff T72 W2
F cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of dff T73 W2
F hold_hbm__D__hl__CLK__hl__ACQ_1 of dff T74 W2
F cmpw_hbm__R__lh__R__hl__ACQ_1 of dff T75 W2
F hold_hbm__D__lh__CLK__hl__ACQ_1 of dff T76 W2
F delay__CLK__hl__Q__lh__ACQ_1 of dff T77 W2
F delay__CLK__hl__Q__hl__ACQ_1 of dff T78 W2
F delay__R__lh__Q__hl__ACQ_1 of dff T79 W2
