# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of OAI22 T0 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T1 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T2 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T3 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T4 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T5 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T6 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T7 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T8 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T9 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T10 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T11 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T12 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T13 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T14 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T15 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T16 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T17 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T18 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T19 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T20 W1
C leakage_power__ACQ_1 of OAI22 T21 W2
C Cin__VSS__hl__ACQ_1 of OAI22 T22 W2
C Cin__VSS__lh__ACQ_1 of OAI22 T23 W2
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T24 W2
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T25 W2
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T26 W2
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T27 W2
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T28 W2
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T29 W2
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T30 W2
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T31 W2
C Cin__VDD__hl__ACQ_1 of OAI22 T32 W2
C Cin__VDD__lh__ACQ_1 of OAI22 T33 W2
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T34 W2
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T35 W2
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T36 W2
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T37 W2
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T38 W2
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T39 W2
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T40 W2
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T41 W2
