# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
F initialization__ACQ_7 of dff T0 W1
K setup_hbm__D__lh__CLK__hl__ACQ_1 of dff T1 W0
F initialization__ACQ_6 of dff T2 W1
K setup_hbm__D__hl__CLK__hl__ACQ_1 of dff T3 W0
F initialization__ACQ_4 of dff T4 W1
K leakage_power__ACQ_1 of dff T5 W0
F Cin__D__hl__ACQ_1 of dff T6 W1
F Cin__D__lh__ACQ_1 of dff T7 W1
F Cin__VSS__hl__ACQ_1 of dff T8 W1
F Cin__VSS__lh__ACQ_1 of dff T9 W1
F initialization__ACQ_5 of dff T10 W1
K ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of dff T11 W0
F removal_hbm__R__hl__CLK__hl__ACQ_1 of dff T12 W1
F recover_hbm__R__hl__CLK__hl__ACQ_1 of dff T13 W1
F initialization__ACQ_1 of dff T14 W1
F initialization__ACQ_2 of dff T15 W1
K cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of dff T16 W0
K cmpw_hbm__R__lh__R__hl__ACQ_1 of dff T17 W0
F initialization__ACQ_3 of dff T18 W1
K delay__CLK__hl__Q__hl__ACQ_1 of dff T19 W0
K delay__CLK__hl__Q__lh__ACQ_1 of dff T20 W0
K hold_hbm__D__lh__CLK__hl__ACQ_1 of dff T21 W0
K hold_hbm__D__hl__CLK__hl__ACQ_1 of dff T22 W0
F Cin__CLK__lh__ACQ_1 of dff T23 W1
F Cin__VDD__hl__ACQ_1 of dff T24 W1
F Cin__VDD__lh__ACQ_1 of dff T25 W1
K delay__R__lh__Q__hl__ACQ_1 of dff T26 W0
F Cin__R__hl__ACQ_1 of dff T27 W1
F initialization__ACQ_7 of dff T28 W1
K setup_hbm__D__lh__CLK__hl__ACQ_1 of dff T29 W0
F initialization__ACQ_6 of dff T30 W1
K setup_hbm__D__hl__CLK__hl__ACQ_1 of dff T31 W0
F initialization__ACQ_4 of dff T32 W1
K leakage_power__ACQ_1 of dff T33 W0
F initialization__ACQ_5 of dff T34 W1
F removal_hbm__R__hl__CLK__hl__ACQ_1 of dff T35 W1
K ncmpw_hbm__CLK__lh__CLK__hl__ACQ_1 of dff T36 W0
F recover_hbm__R__hl__CLK__hl__ACQ_1 of dff T37 W1
F initialization__ACQ_1 of dff T38 W1
F initialization__ACQ_2 of dff T39 W1
K cmpw_hbm__CLK__hl__CLK__lh__ACQ_1 of dff T40 W0
K cmpw_hbm__R__lh__R__hl__ACQ_1 of dff T41 W0
K delay__CLK__hl__Q__lh__ACQ_1 of dff T42 W0
K hold_hbm__D__hl__CLK__hl__ACQ_1 of dff T43 W0
K delay__R__lh__Q__hl__ACQ_1 of dff T44 W0
F initialization__ACQ_3 of dff T45 W1
K delay__CLK__hl__Q__hl__ACQ_1 of dff T46 W0
K hold_hbm__D__lh__CLK__hl__ACQ_1 of dff T47 W0
F Cin__D__hl__ACQ_1 of dff T59 W1
F Cin__D__lh__ACQ_1 of dff T60 W1
F Cin__VSS__hl__ACQ_1 of dff T61 W1
F Cin__VSS__lh__ACQ_1 of dff T62 W1
F Cin__CLK__lh__ACQ_1 of dff T63 W1
F Cin__VDD__hl__ACQ_1 of dff T64 W1
F Cin__VDD__lh__ACQ_1 of dff T65 W1
F Cin__R__hl__ACQ_1 of dff T66 W1
