# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of OAI22 T0 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T1 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T2 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T3 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T4 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T5 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T6 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T7 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T8 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T9 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T10 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T11 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T12 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T13 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T14 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T15 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T16 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T17 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T18 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T19 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T20 W1
C leakage_power__ACQ_1 of OAI22 T21 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T22 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T23 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T24 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T25 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T26 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T27 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T28 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T29 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T30 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T31 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T32 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T33 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T34 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T35 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T36 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T37 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T38 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T39 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T40 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T41 W1
C leakage_power__ACQ_1 of OAI22 T42 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T43 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T44 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T45 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T46 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T47 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T48 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T49 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T50 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T51 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T52 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T53 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T54 W1
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T55 W1
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T56 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T57 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T58 W1
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T59 W1
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T60 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T61 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T62 W1
C leakage_power__ACQ_1 of OAI22 T63 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T64 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T65 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI22 T66 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI22 T67 W1
C delay__B__hl__OUT__lh__ACQ_1 of OAI22 T68 W1
C delay__B__lh__OUT__hl__ACQ_1 of OAI22 T69 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI22 T70 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI22 T71 W1
C delay__D__hl__OUT__lh__ACQ_1 of OAI22 T72 W1
C delay__D__lh__OUT__hl__ACQ_1 of OAI22 T73 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T74 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T75 W1
