# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of NAND4 T0 W1
C Cin__VSS__hl__ACQ_1 of NAND4 T1 W1
C Cin__VSS__lh__ACQ_1 of NAND4 T2 W1
C delay__A__hl__OUT__lh__ACQ_1 of NAND4 T3 W1
C delay__A__lh__OUT__hl__ACQ_1 of NAND4 T4 W1
C delay__B__hl__OUT__lh__ACQ_1 of NAND4 T5 W1
C delay__B__lh__OUT__hl__ACQ_1 of NAND4 T6 W1
C delay__C__hl__OUT__lh__ACQ_1 of NAND4 T7 W1
C delay__C__lh__OUT__hl__ACQ_1 of NAND4 T8 W1
C delay__D__hl__OUT__lh__ACQ_1 of NAND4 T9 W1
C delay__D__lh__OUT__hl__ACQ_1 of NAND4 T10 W1
C Cin__VDD__hl__ACQ_1 of NAND4 T11 W1
C Cin__VDD__lh__ACQ_1 of NAND4 T12 W1
C delay__B__lh__OUT__hl__ACQ_1 of NOR2 T13 W1
C delay__B__hl__OUT__lh__ACQ_1 of NOR2 T14 W1
C leakage_power__ACQ_1 of NOR2 T15 W1
C Cin__VSS__lh__ACQ_1 of NOR2 T16 W1
C Cin__VSS__hl__ACQ_1 of NOR2 T17 W1
C delay__A__lh__OUT__hl__ACQ_1 of NOR2 T18 W1
C delay__A__hl__OUT__lh__ACQ_1 of NOR2 T19 W1
C Cin__VDD__lh__ACQ_1 of NOR2 T20 W1
C Cin__VDD__hl__ACQ_1 of NOR2 T21 W1
C delay__B__lh__OUT__hl__ACQ_1 of NOR3 T22 W1
C delay__B__hl__OUT__lh__ACQ_1 of NOR3 T23 W1
C leakage_power__ACQ_1 of NOR3 T24 W1
C delay__C__lh__OUT__hl__ACQ_1 of NOR3 T25 W1
C delay__C__hl__OUT__lh__ACQ_1 of NOR3 T26 W1
C Cin__VSS__lh__ACQ_1 of NOR3 T27 W1
C Cin__VSS__hl__ACQ_1 of NOR3 T28 W1
C delay__A__lh__OUT__hl__ACQ_1 of NOR3 T29 W1
C delay__A__hl__OUT__lh__ACQ_1 of NOR3 T30 W1
C Cin__VDD__lh__ACQ_1 of NOR3 T31 W1
C Cin__VDD__hl__ACQ_1 of NOR3 T32 W1
C delay__B__lh__OUT__hl__ACQ_1 of OAI21 T33 W1
C delay__B__hl__OUT__lh__ACQ_1 of OAI21 T34 W1
C leakage_power__ACQ_1 of OAI21 T35 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI21 T36 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI21 T37 W1
C Cin__VSS__lh__ACQ_1 of OAI21 T38 W1
C Cin__VSS__hl__ACQ_1 of OAI21 T39 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI21 T40 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI21 T41 W1
C Cin__VDD__lh__ACQ_1 of OAI21 T42 W1
C Cin__VDD__hl__ACQ_1 of OAI21 T43 W1
C leakage_power__ACQ_1 of OAI22 T44 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T45 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T46 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI22 T47 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI22 T48 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T49 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T50 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI22 T51 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI22 T52 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T53 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T54 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T55 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T56 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T57 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T58 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T59 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T60 W1
C leakage_power__ACQ_1 of OAI22 T61 W1
C Cin__VSS__hl__ACQ_1 of OAI22 T62 W1
C Cin__VSS__lh__ACQ_1 of OAI22 T63 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI22 T64 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI22 T65 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T66 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T67 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI22 T68 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI22 T69 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T70 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T71 W1
C Cin__VDD__hl__ACQ_1 of OAI22 T72 W1
C Cin__VDD__lh__ACQ_1 of OAI22 T73 W1
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T74 W1
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T75 W1
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T76 W1
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T77 W1
C leakage_power__ACQ_1 of OAI22 T78 W2
C Cin__VSS__hl__ACQ_1 of OAI22 T79 W2
C Cin__VSS__lh__ACQ_1 of OAI22 T80 W2
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T81 W2
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T82 W2
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T83 W2
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T84 W2
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T85 W2
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T86 W2
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T87 W2
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T88 W2
C Cin__VDD__hl__ACQ_1 of OAI22 T89 W2
C Cin__VDD__lh__ACQ_1 of OAI22 T90 W2
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T91 W2
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T92 W2
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T93 W2
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T94 W2
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T95 W2
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T96 W2
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T97 W2
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T98 W2
C leakage_power__ACQ_1 of XOR2 T99 W2
C Cin__VSS__hl__ACQ_1 of XOR2 T100 W2
C Cin__VSS__lh__ACQ_1 of XOR2 T101 W2
C delay__A__hl__OUT__hl__ACQ_1 of XOR2 T102 W2
C delay__A__hl__OUT__lh__ACQ_1 of XOR2 T103 W2
C delay__A__lh__OUT__hl__ACQ_1 of XOR2 T104 W2
C delay__A__lh__OUT__lh__ACQ_1 of XOR2 T105 W2
C delay__B__hl__OUT__hl__ACQ_1 of XOR2 T106 W2
C delay__B__hl__OUT__lh__ACQ_1 of XOR2 T107 W2
C delay__B__lh__OUT__hl__ACQ_1 of XOR2 T108 W2
C delay__B__lh__OUT__lh__ACQ_1 of XOR2 T109 W2
C Cin__VDD__hl__ACQ_1 of XOR2 T110 W2
C Cin__VDD__lh__ACQ_1 of XOR2 T111 W2
C leakage_power__ACQ_1 of Tri_INV T112 W2
C delay__IN__lh__OUT__hl__ACQ_1 of Tri_INV T113 W2
C delay__IN__hl__OUT__lh__ACQ_1 of Tri_INV T114 W2
F delay__EN__lh__OUT__lh__ACQ_1 of Tri_INV T115 W2
F delay__EN__hl__OUT__hl__ACQ_1 of Tri_INV T116 W2
C Cin__VSS__lh__ACQ_1 of Tri_INV T117 W2
C Cin__VSS__hl__ACQ_1 of Tri_INV T118 W2
C Cin__VDD__lh__ACQ_1 of Tri_INV T119 W2
C Cin__VDD__hl__ACQ_1 of Tri_INV T120 W2
F delay__EN__lh__OUT__lh__ACQ_1 of Tri_INV T121 W2
F delay__EN__hl__OUT__hl__ACQ_1 of Tri_INV T122 W2
C leakage_power__ACQ_1 of OAI22 T123 W2
N Cin__VSS__hl__ACQ_1 of OAI22
N Cin__VSS__lh__ACQ_1 of OAI22
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T126 W2
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T127 W2
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T128 W2
F delay__B__lh__OUT__hl__ACQ_1 of OAI22 T129 W2
F delay__C__hl__OUT__lh__ACQ_1 of OAI22 T130 W2
F delay__C__lh__OUT__hl__ACQ_1 of OAI22 T131 W2
F delay__D__hl__OUT__lh__ACQ_1 of OAI22 T132 W2
F delay__D__lh__OUT__hl__ACQ_1 of OAI22 T133 W2
N Cin__VDD__hl__ACQ_1 of OAI22
N Cin__VDD__lh__ACQ_1 of OAI22
F delay__A__hl__OUT__lh__ACQ_1 of OAI22 T136 W2
F delay__A__lh__OUT__hl__ACQ_1 of OAI22 T137 W2
F delay__B__hl__OUT__lh__ACQ_1 of OAI22 T138 W2
R delay__B__lh__OUT__hl__ACQ_1 of OAI22 T139 W2
N delay__C__hl__OUT__lh__ACQ_1 of OAI22
N delay__C__lh__OUT__hl__ACQ_1 of OAI22
N delay__D__hl__OUT__lh__ACQ_1 of OAI22
N delay__D__lh__OUT__hl__ACQ_1 of OAI22
