# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
F delay__B__lh__OUT__hl__ACQ_1 of NAND3 T0 W1
F delay__B__hl__OUT__lh__ACQ_1 of NAND3 T1 W1
F leakage_power__ACQ_1 of NAND3 T2 W1
F delay__C__lh__OUT__hl__ACQ_1 of NAND3 T3 W1
F delay__C__hl__OUT__lh__ACQ_1 of NAND3 T4 W1
F Cin__VSS__lh__ACQ_1 of NAND3 T5 W1
F Cin__VSS__hl__ACQ_1 of NAND3 T6 W1
F delay__A__lh__OUT__hl__ACQ_1 of NAND3 T7 W1
F delay__A__hl__OUT__lh__ACQ_1 of NAND3 T8 W1
F Cin__VDD__lh__ACQ_1 of NAND3 T9 W1
F Cin__VDD__hl__ACQ_1 of NAND3 T10 W1
F delay__B__lh__OUT__hl__ACQ_1 of NAND3 T11 W1
F delay__B__hl__OUT__lh__ACQ_1 of NAND3 T12 W1
F delay__C__lh__OUT__hl__ACQ_1 of NAND3 T13 W1
F delay__C__hl__OUT__lh__ACQ_1 of NAND3 T14 W1
F delay__A__lh__OUT__hl__ACQ_1 of NAND3 T15 W1
F delay__A__hl__OUT__lh__ACQ_1 of NAND3 T16 W1
F leakage_power__ACQ_1 of NAND3 T17 W1
F Cin__VSS__lh__ACQ_1 of NAND3 T18 W1
F Cin__VSS__hl__ACQ_1 of NAND3 T19 W1
F Cin__VDD__lh__ACQ_1 of NAND3 T20 W1
F Cin__VDD__hl__ACQ_1 of NAND3 T21 W1
C delay__B__lh__OUT__hl__ACQ_1 of NAND3 T22 W1
C delay__B__hl__OUT__lh__ACQ_1 of NAND3 T23 W1
C leakage_power__ACQ_1 of NAND3 T24 W1
C delay__C__lh__OUT__hl__ACQ_1 of NAND3 T25 W1
C delay__C__hl__OUT__lh__ACQ_1 of NAND3 T26 W1
C Cin__VSS__lh__ACQ_1 of NAND3 T27 W1
C Cin__VSS__hl__ACQ_1 of NAND3 T28 W1
C delay__A__lh__OUT__hl__ACQ_1 of NAND3 T29 W1
C delay__A__hl__OUT__lh__ACQ_1 of NAND3 T30 W1
C Cin__VDD__lh__ACQ_1 of NAND3 T31 W1
C Cin__VDD__hl__ACQ_1 of NAND3 T32 W1
